total_budget,steinke,fdp,ndis_parametric_bonferroni,ndis_bootstrap_ellipsoid
5.000000000000000000e+01,1.078701024501258043e+00,2.026590135450255126e+00,1.157804213778784730e+00,2.728194112578562258e+00
1.000000000000000000e+02,1.579489097418515398e+00,2.849260006115181820e+00,2.450122871386881673e+00,3.855137213621552483e+00
2.000000000000000000e+02,1.928137863098148941e+00,3.286153868800579581e+00,3.680064276222379860e+00,4.834360674125279367e+00
4.000000000000000000e+02,2.378965862243777263e+00,3.897580227808898456e+00,4.614835801856075115e+00,5.503736015832878081e+00
6.000000000000000000e+02,2.552145119005436502e+00,4.092712024073296817e+00,4.894114040516980957e+00,5.626794404042225750e+00
1.000000000000000000e+03,2.792923147777882420e+00,4.328418771595842429e+00,5.437855262138676871e+00,6.042968786938965664e+00
1.500000000000000000e+03,3.036081676613068936e+00,4.605497623050789358e+00,5.711008227574535745e+00,6.211067169094068419e+00
2.000000000000000000e+03,3.142047760136199130e+00,4.710061979882674166e+00,5.951201013505352577e+00,6.395843283444021310e+00
3.500000000000000000e+03,3.325930355431493624e+00,4.812726254770255174e+00,6.209134763701449344e+00,6.550866067603400289e+00
5.000000000000000000e+03,3.329768701633670780e+00,4.697300009767120699e+00,6.375554338493677697e+00,6.665962581970684475e+00
