total_budget,steinke,fdp,ndis_parametric_bonferroni,ndis_bootstrap_ellipsoid,ndis_dp_aware_bonferroni
5.000000000000000000e+01,9.465178867902005466e-01,1.788421077119850322e+00,1.212632863738188904e+00,2.872176960214202879e+00,0.000000000000000000e+00
1.000000000000000000e+02,1.525545348613964514e+00,2.760478213067680819e+00,2.433105683870834923e+00,3.808292445629585909e+00,0.000000000000000000e+00
2.000000000000000000e+02,1.919072360248654574e+00,3.242778905250911503e+00,3.557824143052326971e+00,4.673785613411018502e+00,0.000000000000000000e+00
4.000000000000000000e+02,2.323693977388294751e+00,3.746095530718385636e+00,4.489047310949754177e+00,5.355336694348255655e+00,0.000000000000000000e+00
6.000000000000000000e+02,2.524061287314676605e+00,4.006271994477069498e+00,5.032431962243628654e+00,5.780232786270857126e+00,0.000000000000000000e+00
1.000000000000000000e+03,2.831831602004529103e+00,4.408978119616715041e+00,5.427553110373964707e+00,6.023872593420179555e+00,0.000000000000000000e+00
1.500000000000000000e+03,3.175368896764574789e+00,4.857289739039618581e+00,5.749066749669654364e+00,6.257325790676007138e+00,0.000000000000000000e+00
2.000000000000000000e+03,3.115033268520175369e+00,4.692290391325359522e+00,5.898788362457122680e+00,6.341041128498611457e+00,0.000000000000000000e+00
3.500000000000000000e+03,3.305324277851468207e+00,4.789754240170393196e+00,6.228648248370188156e+00,6.571206858355407299e+00,0.000000000000000000e+00
5.000000000000000000e+03,3.329768701633670780e+00,4.697300009767120699e+00,6.375554338493677697e+00,6.667129437957686200e+00,0.000000000000000000e+00
